,pole_id,vgp_id,Name,slat,slon,n,dec,inc,k,α95,VGP_lat,VGP_lon,K,dp,dm,A95,age,2_sigma,min_age,max_age,error_dist,lithology,Q,kept_by_auth,ref,age ref,comments (Q breakdown),paleolatitude,vgp_lat,vgp_lon,vgp_lat_rev,vgp_lon_rev,vgp_lat_SH,vgp_lon_SH,comments on age,dip_dir,dip,comments (x = excluded)
64,VGPs_NAM\11,3,sr04,42.60104,245.59638,5.0,16.5,54.6,316.1,4.3,75.1,229.5,,,,,0.095,0.01,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,35.1290059451021,75.17624314841146,0.37898331096675975,-75.17624314841146,180.37898331096676,-75.17624314841146,180.37898331096676,,,,
65,VGPs_NAM\11,4,sr09,42.73656,245.16456,7.0,14.6,77.9,410.5,3.0,63.6,125.5,,,,,0.395,0.02,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,66.79214443640257,64.6627236486331,258.58615119679274,-64.6627236486331,78.58615119679274,-64.6627236486331,78.58615119679274,,,,
66,VGPs_NAM\11,5,sr11,42.8418,245.11175,7.0,346.5,73.7,430.3,3.0,71.2,93.4,,,,,0.373,0.01,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,59.67915667613019,71.24518272859267,223.60872134408007,-71.24518272859267,43.60872134408007,-71.24518272859267,43.60872134408007,,,,
67,VGPs_NAM\11,6,sr12,42.8657,245.12742,5.0,15.3,44.8,227.6,5.1,69.4,252.7,,,,,0.404,0.01,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,26.405385346087726,69.34946138360142,23.04806425494064,-69.34946138360142,203.04806425494064,-69.34946138360142,203.04806425494064,,,,
68,VGPs_NAM\11,7,sr16,42.88822,244.92279,7.0,347.4,65.6,227.9,4.0,79.9,58.2,,,,,0.052,0.02,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,47.78442026771514,79.89721111729514,188.24515840154743,-79.89721111729514,8.245158401547428,-79.89721111729514,8.245158401547428,,,,
69,VGPs_NAM\11,8,sr19,42.56857,245.70095,4.0,169.3,-63.5,1197.9,2.7,-81.9,226.0,,,,,1.76,0.32,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,-45.08138325092736,-81.88905436938393,357.3923145252877,81.88905436938393,177.3923145252877,-81.88905436938393,357.3923145252877,,,,
70,VGPs_NAM\11,9,sr20,42.49964,245.84815,8.0,334.3,51.0,42.2,8.6,68.9,9.4,,,,,2.26,0.1,,,normal,volcanic,,,Tauxe et al. (2004),,excluded by authors. plateau age.,31.693197163513418,66.95658074363156,136.3534992240676,-66.95658074363156,316.3534992240676,-66.95658074363156,316.3534992240676,,,,
71,VGPs_NAM\11,10,sr21,42.49962,245.85094,5.0,172.4,-66.9,797.1,2.7,-81.2,259.9,,,,,1.69,0.04,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,-49.53342410936512,-81.21587097005413,31.651827059640937,81.21587097005413,211.65182705964094,-81.21587097005413,31.651827059640937,,,,
72,VGPs_NAM\11,11,sr22,42.50001,245.84971,7.0,6.3,29.7,335.5,3.3,62.9,280.7,,,,,0.591,0.03,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,15.917882886740262,62.87477286718154,52.46724858587254,-62.87477286718154,232.46724858587254,-62.87477286718154,232.46724858587254,,,,
73,VGPs_NAM\11,12,sr23,42.52872,245.97898,6.0,14.0,46.6,565.0,2.9,71.5,251.8,,,,,0.291,0.03,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,27.8669833923591,71.45700359651856,23.71829263544288,-71.45700359651856,203.71829263544288,-71.45700359651856,203.71829263544288,,,,
74,VGPs_NAM\11,13,sr24,42.45559,245.63636,5.0,163.3,-62.2,325.8,4.2,-77.8,214.8,,,,,1.73,0.02,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,-43.480995795349045,-77.75783795311466,346.1122178620882,77.75783795311466,166.1122178620882,-77.75783795311466,346.1122178620882,,,,
75,VGPs_NAM\11,14,sr25,42.48923,245.60009,5.0,2.9,61.9,871.8,2.6,87.8,186.9,,,,,2.89,0.04,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,43.11934017627434,87.78112507736576,318.12142312972605,-87.78112507736576,138.12142312972605,-87.78112507736576,138.12142312972605,,,,
76,VGPs_NAM\11,15,sr26,42.46186,245.61471,7.0,358.6,62.4,153.1,5.0,88.6,47.1,,,,,2.94,0.05,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,43.72368002531006,88.37605186759477,207.0760428412434,-88.37605186759477,27.076042841243407,-88.37605186759477,27.076042841243407,,,,
77,VGPs_NAM\11,16,sr27,42.69156,247.03567,5.0,230.0,70.6,350.0,4.7,16.9,85.4,,,,,,,,,,volcanic,,,Tauxe et al. (2004),,excluded by authors,54.84253518251763,16.39768880559224,219.66078521515135,-16.39768880559224,39.66078521515135,-16.39768880559224,39.66078521515135,,,,
78,VGPs_NAM\11,17,sr28,42.65289,246.98823,7.0,195.8,-50.6,535.2,2.6,-72.7,60.1,,,,,5.75,0.25,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,-31.329291114571195,-73.09690657293383,193.8657354595928,73.09690657293383,13.865735459592798,-73.09690657293383,193.8657354595928,,,,
79,VGPs_NAM\11,18,sr29,43.30504,247.73219,8.0,9.4,62.7,1244.7,1.6,82.8,190.6,,,,,0.18,0.028,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,44.090095000781595,83.1624565711579,327.9067268529183,-83.1624565711579,147.90672685291833,-83.1624565711579,147.90672685291833,,,,
80,VGPs_NAM\11,19,sr30,43.36817,247.3447,7.0,7.5,66.7,488.6,2.7,81.9,144.3,,,,,0.191,0.02,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,49.260492668116356,82.16207608904705,286.00109143567664,-82.16207608904705,106.00109143567664,-82.16207608904705,106.00109143567664,,,,
81,VGPs_NAM\11,20,sr31,43.42133,247.25587,8.0,23.2,54.0,1836.2,1.3,69.7,221.1,,,,,0.12,0.078,,,normal,volcanic,,,Tauxe et al. (2004),,plateau age,34.53539710459609,69.98692465216247,355.77127801471545,-69.98692465216247,175.77127801471545,-69.98692465216247,175.77127801471545,,,,
